Date,Cash,Equity,OpenPositions
2001-11-16,20623.166621061064,51207.818706126905,24
2001-11-19,20623.166621061064,51924.1111358125,24
2001-11-20,20623.166621061064,51457.096248002745,24
2001-11-21,20623.166621061064,51787.499229284025,24
2001-11-22,20623.166621061064,51934.3430443723,24
2001-11-23,20623.166621061064,51726.09164628575,24
2001-11-26,20623.166621061064,52297.53591832707,24
2001-11-27,52055.22679235147,52055.22679235147,0
2001-11-28,52055.22679235147,52055.22679235147,0
2001-11-29,52055.22679235147,52055.22679235147,0
2001-11-30,36454.628167410694,51927.75767781337,24
2001-12-03,51445.328815245455,51445.328815245455,0
2001-12-04,20713.16589473279,51322.889919147805,24
2001-12-05,51765.653634973365,51765.653634973365,0
2001-12-06,18327.80589150174,51632.4351180671,26
2001-12-07,18327.80589150174,51726.572591292694,26
2001-12-10,18327.80589150174,52249.0708500026,26
2001-12-11,18327.80589150174,52133.97270523293,26
2001-12-12,20981.391252539946,51852.21468546231,24
2001-12-13,20981.391252539946,51464.52968003591,24
2001-12-14,20981.391252539946,51194.62219502767,24
2001-12-17,20981.391252539946,51194.62219502767,24
2001-12-18,20981.391252539946,51107.69665279229,24
2001-12-19,20981.391252539946,50500.395065687495,24
2001-12-20,20981.391252539946,50447.48800661405,24
2001-12-21,20981.391252539946,50174.07863476117,24
2001-12-24,20981.391252539946,49905.43551482995,24
2001-12-25,20981.391252539946,49905.43551482995,24
2001-12-26,49668.507154015395,49668.507154015395,0
2001-12-27,49668.507154015395,49668.507154015395,0
2001-12-28,20086.19963642678,49550.649355140544,24
2001-12-31,50346.7478035954,50346.7478035954,0
2002-01-01,20411.945324071734,50227.48564232239,24
2002-01-02,20411.945324071734,50348.12261749157,24
2002-01-03,20411.945324071734,50811.99175954708,24
2002-01-04,20411.945324071734,51124.53561485657,24
2002-01-07,51333.48362301813,51333.48362301813,0
2002-01-08,36015.69742248048,51208.325307583706,24
2002-01-09,36012.08013012687,51190.351239946285,24
2002-01-10,36008.462837773266,51233.04205258459,24
2002-01-11,36004.84554541966,51306.04280222317,24
2002-01-14,50193.56570774648,50193.56570774648,0
2002-01-15,32642.69305255349,50060.63946118291,26
2002-01-16,35093.35159051577,49783.32776057879,24
2002-01-17,35089.79796911526,49323.87960244465,24
2002-01-18,35086.244347714746,49393.921300315225,24
2002-01-21,35082.690726314235,49268.07950833862,24
2002-01-22,35079.13710491372,49302.58944158269,24
2002-01-23,35075.58348351321,49329.86764710746,24
2002-01-24,49325.17949751794,49325.17949751794,0
2002-01-25,49325.17949751794,49325.17949751794,0
2002-01-28,19893.115743748054,49207.92027937542,24
2002-01-29,49142.07431060636,49142.07431060636,0
2002-01-30,19796.16521350372,49025.15833810794,24
2002-01-31,19796.16521350372,49230.06807879436,24
2002-02-01,49789.70589328896,49789.70589328896,0
2002-02-04,49789.70589328896,49789.70589328896,0
2002-02-05,17653.527494655,49661.67331002747,26
2002-02-06,17653.527494655,51028.052178726546,26
2002-02-07,20095.48107386338,50743.29508627164,24
2002-02-08,20095.48107386338,51007.2283227514,24
2002-02-11,20095.48107386338,51808.63001967179,24
2002-02-12,20095.48107386338,51745.9150002073,24
2002-02-13,20095.48107386338,52203.310823686,24
2002-02-14,21914.073324015968,52799.94034962975,23
2002-02-15,21914.073324015968,52801.20043759667,23
2002-02-18,21914.073324015968,53084.6841495546,23
2002-02-19,21914.073324015968,52476.9878373655,23
2002-02-20,23680.90638445603,52701.57325934159,22
2002-02-21,23680.90638445603,52989.687601792684,22
2002-02-22,25419.950024211277,53441.54454382645,21
2002-02-25,29001.620060670248,53737.790429341665,19
2002-02-26,22285.268532904018,54253.58629599415,24
2002-02-27,22285.268532904018,53717.979175480235,24
2002-02-28,22285.268532904018,52456.239801796306,24
2002-03-01,22285.268532904018,53326.06509533726,24
2002-03-04,22285.268532904018,53621.76751700245,24
2002-03-05,53248.05335478914,53248.05335478914,0
2002-03-06,34654.57969695244,53107.15478747997,26
2002-03-07,34650.810693191364,52632.8788605202,26
2002-03-08,34647.04168943029,52586.15556803804,26
2002-03-11,34643.27268566922,52956.85657336548,26
2002-03-12,50731.739241689946,53152.18994912555,2
2002-03-13,53188.160199924736,53188.160199924736,0
2002-03-14,50546.450242153434,53177.63545905712,2
